case_id,query,expected_mode,expected_size,expected_material,expected_value,expected_unit,expected_tolerance,expected_voltage,min_match_count,notes,expected_top_brand,expected_top_model_contains
MLCC_PREFIX_C_EIA_1812_47NF_1KV,C1812X473K102TFF,part,1812,X7R,47,NF,10,1000,1,Prefix-C EIA-size MLCC must parse 473 as 47nF and 102 as 1000V instead of TDK C-series 1nF fallback,,
SAMSUNG_5PCT,CL05A105JQ5NNWC,part,0402,X5R,1,UF,5,6.3,0,Samsung 5 percent tolerance should parse correctly
WALSIN_0402X105,0402X105K6R3CT,part,0402,X5R,1,UF,10,6.3,1,Walsin compact part parser should work
MLCC_NUMERIC_SIZE_FIRST_1812_10NF_1KV,1812B103K102LT,part,1812,X7R,10,NF,10,1000,3,Numeric size-first MLCC model should parse as part and avoid full-dataframe fallback,信昌PDC,FV43X103K102
MURATA_100PF,GRM0335C1E101JA01D,part,0201,COG(NPO),100,PF,5,25,1,Murata standard NP0 sample
MURATA_56NF,GRM155R71C563KA88D,part,0402,X7R,56,NF,10,16,1,Murata X7R sample
MURATA_3PF,GRM0335C1H3R0WA01,part,0201,COG(NPO),3,PF,0.05pF,50,0,Murata decimal pF code and absolute tolerance
YAGEO_AA_1OHM,AA0402FR-071RL,part,0402,,1,OHM,1,,0,Yageo AA resistor model should reverse-parse to 0402 1 ohm 1 percent from the model code
RES_LEADING_APOSTROPHE_UNI_ROYAL,'1206W4J0101T5E,part,1206,,100,OHM,5,,1,Excel leading apostrophe should be stripped before exact model lookup
MURATA_MHR_1GOHM,MHR0422SA108F70,part,,,1000,MOHM,1,,0,Murata MHR high-voltage resistor should reverse-parse 108 as 1000 megaohm instead of trusting scraped 1 ohm fields
SPEC_0402_1UF,0402 105 k 6.3 x5r,spec,0402,X5R,1,UF,10,6.3,1,Complete spec query should return same size and capacitance family
RES_0603_10K,Res't : 10K ohm 1/10W +/-5% 0603SMD,resistor,0603,,10,KOHM,5,,0,Resistor spec query should keep 10K resistance instead of dropping it
RES_CN_CERAMIC_RES_0603_4K7,陶瓷电阻 ±1% SMD 0603 4.7KΩ,resistor,0603,,4.7,KOHM,1,,1,Chinese ceramic-resistor wording should route to resistor instead of MLCC
RES_0401_1OHM_K,0401 1ohm k,resistor,0401,,1,OHM,10,,0,Compact resistor query with 0401 size and K tolerance should keep all three parameters instead of dropping size and tolerance
RES_0603_3K3,3K3 5% 0603,resistor,0603,,3.3,KOHM,5,,0,Compact resistor spec should parse 3K3 correctly
RES_0603_4K75,4K75 1% 0603,resistor,0603,,4.75,KOHM,1,,0,Compact resistor spec should parse 4K75 correctly
RES_1206_R010,R010 1% 1206,resistor,1206,,10,MILLIOHM,1,,0,Leading-R low-ohm resistor spec should parse correctly
RES_1206_0R22,0R22 5% 1206,resistor,1206,,220,MILLIOHM,5,,0,Compact low-ohm resistor spec should parse 0R22 correctly
RES_0805_4R7_EXACT,"C Res't : 4.7 Ohm, +/-1%, 1/8W, SMD0805",resistor,0805,,4.7,OHM,1,,1,0805 4.7 ohm resistor query should stay in normal resistor families instead of drifting into Murata PRG PTC rows
RES_2512_R005_1W,R005 1% 2512 1W,resistor,2512,,5,MILLIOHM,1,,0,Low-ohm high-power resistor query should keep 2512 package and 1W power
RES_2512_5MOHM_2W,5mΩ 1% 2512 2W,resistor,2512,,5,MILLIOHM,1,,0,Milliohm resistor query should parse 5mΩ with 2512 package and 2W power
RES_BRAND_PRIORITY_R005,R005 1% 1206 1W,resistor,1206,,5,MILLIOHM,1,,1,Resistor complete matches should prefer stocked brands in order: PDC > Walsin > Uni-Royal > Fojan,信昌,

PDC_MT03N100J500CT,MT03N100J500CT,part,0201,COG(NPO),10,PF,5,50,1,PDC MT series sample should parse as ??PDC instead of Walsin
ELEC_SPEC_270UF,铝电容_270uF_±20%_16V_-25-105℃_5000h_6.6×7.2mm_贴片_消费,electrolytic,,,270,UF,20,16,0,Electrolytic spec query should keep value tolerance voltage and route into the aluminum electrolytic parser
JIANGHAI_HPA_EPA,PCP0EPA331M09B,part,,,330,UF,20,2.5,0,Jianghai HPA polymer model should reverse-parse 330uF 2.5V from the model code
JIANGHAI_PHV_EVA,PHV1EVA271MC10FVTSWX,part,,,270,UF,20,25,0,Jianghai PHV hybrid model should reverse-parse 270uF 25V from the model code
JIANGHAI_WBZ_STOCK,ECS2WBZ471MLA350040V,part,,,470,UF,20,450,0,Jianghai stock-site supplement row should retain 470uF 450V for WBZ snap-in models

PDC_MT43X104K152EHE,MT43X104K152EHE,part,1812,X7R,100,NF,10,1500,0,Old catalog MT query should borrow size 43 and 152V from official naming rules
PDC_FN18_WALSIN_PRIORITY,FN18X104K500PBG,part,0603,X7R,100,NF,10,50,1,PDC 0603 X7R 100nF 50V should keep Walsin ahead of HRE/Murata/TDK when all rows are complete matches,WALSIN,
WALSIN_WR08W_10K,WR08W1002FTL,part_partial,0805,,10,KOHM,1,,0,Walsin WR08W model should parse 1002 as 10K instead of the WR08W prefix as 80mohm
SEMI_MOS_AO3400A,AO3400A,part,,,,,,30,1,Supported semiconductor MOSFET model should resolve from the seeded official library,AOSMD,AO3400A
SEMI_DIODE_1N4148,1N4148,part,,,,,,100,1,Supported diode model should resolve from the seeded official library,Nexperia,1N4148
SEMI_DIODE_SS34,SS34,part,,,,,,40,1,Supported Schottky diode model should resolve from the seeded official library,Vishay,SS34
SEMI_DIODE_BAT54,BAT54,part,,,,,,30,1,Supported Schottky diode model should resolve from the seeded official library,Diodes Incorporated,BAT54
SEMI_BJT_S8050,S8050,part,,,,,,25,1,Supported BJT model should resolve from the seeded official library,Rectron,S8050
SEMI_BJT_BC817,BC817,part,,,,,,45,1,Supported BJT model should resolve from the seeded official library,Nexperia,BC817
SEMI_MOS_SI2302CDS,SI2302CDS,part,,,,,,20,1,Supported MOSFET model should resolve from the seeded official library,Vishay,SI2302CDS
SEMI_MOS_SI2302_PREFIX,SI2302,part_partial,,,,,,20,1,Semiconductor prefix should show source-backed candidates but require suffix confirmation,Vishay,SI2302CDS
SEMI_DIODE_1N4007,1N4007,part,,,,,,1000,1,Supported rectifier diode model should resolve from the seeded official library,onsemi,1N4007
SEMI_DIODE_SS14,SS14,part,,,,,,40,1,Supported 1A Schottky diode model should resolve from the seeded official library,Vishay,SS14
SEMI_DIODE_SS54,SS54,part,,,,,,40,1,Supported 5A Schottky diode model should resolve from the seeded official library,Vishay,SS54
SEMI_BJT_MMBT2222A,MMBT2222A,part,,,,,,40,1,Supported NPN BJT model should resolve from the seeded official library,onsemi,MMBT2222A
SEMI_TVS_SMAJ5CA,SMAJ5.0CA,part,,,,,,5,1,Supported TVS model should resolve from the seeded official library,Diodes Incorporated,SMAJ5.0CA
SEMI_TVS_SMBJ12CA,SMBJ12CA,part,,,,,,12,1,Supported TVS model should resolve from the seeded official library,Littelfuse,SMBJ12CA
MLCC_SPEC_0402_X5R_1UF_6R3,0402 X5R 1uF 6.3V +/-10%,spec,0402,X5R,1,UF,10,6.3,1,Small MLCC spec should stay MLCC instead of being routed as aluminum electrolytic
MLCC_SPEC_1206_X7R_1UF_K,1206 x7r 1uf k,spec,1206,X7R,1,UF,10,,1,MLCC spec with dielectric token and no voltage should stay MLCC instead of aluminum electrolytic
SEMI_MOS_STP55NF06L,STP55NF06L,part,,,,,,60,1,ST power MOSFET model should stay as a part query instead of being parsed as a 55nF capacitor,STMicroelectronics,STP55NF06L
SEMI_DIODE_CUS10F40,CUS10F40,part,,,,,,40,1,Toshiba Schottky diode seed should be searchable by exact model,Toshiba,CUS10F40
SEMI_TVS_CDSOD323_T05C,CDSOD323-T05C,part,,,,,,5,1,Bourns TVS seed should be searchable by exact model,Bourns,CDSOD323-T05C
FILM_KEMET_R82DC,R82DC3100AA50J,part,,PET,100,NF,5,63,1,KEMET film capacitor seed should be searchable and keep 0.1uF 63V 5%,KEMET,R82DC
FILM_VISHAY_MKP1848,MKP1848C51060JK2,part,,PP,1,UF,5,600,1,Vishay MKP film capacitor model should be treated as an exact part query,Vishay,MKP1848C51060JK2
FILM_SPEC_100NF_63V_PET,薄膜电容 0.1uF 63V 5% PET,film,,PET,100,NF,5,63,2,Film capacitor spec should find source-backed PET 0.1uF 63V candidates,KEMET,R82DC
VAR_MOV14D471K,MOV-14D471K,varistor,,,,,,470,3,Leaded varistor code should not be parsed as a resistor and should find 470V 14D candidates,Bourns,MOV-14D471K
TIMING_CRYSTAL_ABRACON_ABM3B,ABM3B-8.000MHZ-B2-T,part,5032,,8,MHZ,20PPM,,1,Abracon crystal exact model should resolve from source backed seed,Abracon,ABM3B
TIMING_CRYSTAL_SPEC_16MHZ_3225,晶振 16MHz 3225,crystal,3225,,16,MHZ,,,4,Crystal 16MHz 3225 spec should not be routed to insufficient MLCC spec,KDS,DSX321G
TIMING_OSC_SITIME_SIT1602,SiT1602BI-13-33E-25.000000,part,2520,,25,MHZ,50PPM,3.3,1,SiTime oscillator exact model should resolve from source backed seed,SiTime,SIT1602
RES_SPEC_0201_0R_1_20W,0201 1/20W 0R,resistor,0201,,0,OHM,,,1,Zero-ohm 0201 1/20W resistor spec should use fast resistor index and not skip,,
TIMING_OSC_SPEC_25MHZ_3V3_CMOS,振荡器 25MHz 3.3V CMOS,oscillator,,,25,MHZ,,3.3,3,Oscillator 25MHz 3.3V CMOS spec should find CMOS oscillator candidates,Abracon,ASE
ALU_KNSCHA_DHF025M687,DHF025M687G160S1AA,part,,,680,UF,20,25,0,KNSCHA DHF aluminum electrolytic exact part should resolve from source-backed seed,,
MLCC_SAMSUNG_CL10Y225KO96PJC,CL10Y225KO96PJC,part,0603,X7S,2.2,UF,10,16,0,Samsung official page lists CL10Y225KO96PJ# as X7S 2.2uF 16V; parser must not decode Y as X7T,,
RES_RALEC_LR2512_1MOHM,LR2512-22R001F4,part,2512,,1,mΩ,1,,1,RALEC LR model should resolve as 2512 1mΩ 1% 2W metal alloy current-sense resistor,旺诠RALEC,LR2512
RES_PDC_FMF25_1MOHM,FMF25FPJR001XBHM,part,2512,,1,mΩ,1,,1,PDC FMF metal strip current-sense resistor should not be parsed as FM medium-voltage MLCC,信昌PDC,FMF25
MLCC_HRE_CGA0805_SIZE_FIRST,CGA0805X7R225K500MT,part,0805,X7R,2.2,UF,10,50,1,HRE CGA size-first MLCC model should route as a part query instead of insufficient MLCC spec,芯声微HRE,CGA
RES_SPEC_0603_510MR_1PCT,0603 510mr 1%,resistor,0603,,510,MILLIOHM,1,,1,mR/mr milliohm notation should parse as 510mΩ and search low-ohm 0603 resistors,,
RES_SPEC_HOLRS_HYPHEN_MR_POWER,HoLRS6568-5W-0.1mR-1%,part,6568,,0.1,MILLIOHM,1,,1,Hyphenated HoLRS milliohm power query should resolve as official-source exact part and avoid full-dataframe fallback,Milliohm,
RES_MILLIOHM_HOLR2512D_1MR_3PCT,HoLR2512D-3W-1mR-3%,part,2512,,1,MILLIOHM,3,,1,Milliohm HoLR2512D exact part should parse power/resistance/tolerance from the official model rule and return the source-backed row,Milliohm,HoLR2512D-3W-1mR-3%
